run number, score, number of levels, total steps, total elapsed time
1, 500.0, 3, 2488, 77.41089725494385
2, 200.0, 3, 297, 8.383658647537231
3, 200.0, 3, 654, 20.293469190597534
4, 200.0, 3, 319, 9.518553256988525
5, 500.0, 3, 1616, 44.88555693626404
6, 300.0, 3, 332, 9.597786664962769
7, 150.0, 3, 639, 22.291116952896118
8, 300.0, 3, 926, 28.778685092926025
9, 550.0, 3, 1595, 47.281243085861206
10, 500.0, 3, 1187, 38.646085023880005
11, 100.0, 3, 265, 8.590933799743652
12, 550.0, 2, 10001, 515.0882313251495
13, 350.0, 2, 10001, 284.7019100189209
14, 550.0, 3, 1375, 128.75803136825562
15, 660.0, 3, 6461, 319.08135175704956
16, 100.0, 3, 309, 8.664441347122192
17, 300.0, 3, 719, 22.894095420837402
18, 50.0, 3, 325, 9.025607109069824
19, 450.0, 3, 1029, 29.5537326335907
20, 350.0, 3, 1518, 42.67626452445984
21, 300.0, 3, 10001, 508.7701094150543
22, 250.0, 3, 662, 17.12286400794983
23, 450.0, 3, 572, 15.660272121429443
24, 350.0, 3, 557, 18.23473620414734
25, 360.0, 3, 2463, 70.24290990829468
26, 460.0, 3, 4037, 112.39006972312927
27, 760.0, 3, 4097, 135.93423128128052
28, 400.0, 3, 1033, 100.55282592773438
29, 600.0, 3, 1562, 172.0694363117218
30, 350.0, 3, 861, 59.03070688247681
31, 50.0, 3, 296, 8.410503625869751
32, 250.0, 3, 623, 17.622552394866943
33, 350.0, 3, 900, 26.06121802330017
34, 50.0, 3, 335, 9.329288959503174
35, 250.0, 3, 308, 10.827241897583008
36, 50.0, 3, 248, 6.599414587020874
37, 620.0, 3, 2599, 76.2765862941742
38, 650.0, 3, 1186, 35.77621412277222
39, 760.0, 3, 3663, 104.93933486938477
40, 350.0, 3, 1166, 33.55648350715637
41, 550.0, 3, 3705, 358.183349609375
42, 450.0, 3, 3239, 98.2342836856842
43, 0.0, 3, 248, 6.561156511306763
44, 100.0, 3, 294, 8.338669300079346
45, 50.0, 3, 283, 9.458654642105103
46, 300.0, 3, 728, 23.0563223361969
47, 650.0, 3, 4342, 124.07367968559265
48, 450.0, 3, 903, 24.32731294631958
49, 250.0, 1, 10001, 501.82831025123596
50, 450.0, 3, 827, 24.04775071144104
51, 660.0, 3, 5023, 139.78152346611023
52, 350.0, 3, 1141, 33.27548098564148
53, 300.0, 3, 545, 19.07744574546814
54, 700.0, 3, 1192, 35.47237682342529
55, 250.0, 3, 469, 13.960327863693237
56, 600.0, 3, 10001, 511.5040030479431
57, 250.0, 3, 393, 13.439585447311401
58, 550.0, 3, 667, 18.13594913482666
59, 400.0, 3, 1097, 33.317179679870605
60, 200.0, 3, 305, 8.608595848083496
61, 750.0, 3, 10001, 518.4593682289124
62, 550.0, 3, 966, 29.365187406539917
63, 200.0, 3, 575, 15.915557622909546
64, 450.0, 3, 736, 22.681602716445923
65, 400.0, 3, 1146, 31.54383134841919
66, 350.0, 3, 724, 22.956875801086426
67, 760.0, 3, 1983, 55.46696710586548
68, 300.0, 3, 317, 11.386224269866943
69, 250.0, 3, 343, 10.165532350540161
70, 460.0, 3, 3420, 101.51935601234436
71, 550.0, 3, 2080, 129.4126558303833
72, 450.0, 3, 992, 102.06411838531494
73, 400.0, 3, 552, 67.59626960754395
74, 350.0, 3, 669, 73.07470726966858
75, 400.0, 3, 1216, 36.300710916519165
76, 520.0, 3, 5260, 151.7716727256775
77, 150.0, 3, 288, 7.732026100158691
78, 450.0, 3, 1064, 30.583510875701904
79, 650.0, 3, 2827, 80.4917721748352
80, 100.0, 3, 465, 15.640355587005615
81, 400.0, 3, 1023, 27.096885681152344
82, 600.0, 3, 1317, 60.79961657524109
83, 550.0, 3, 1226, 121.2499885559082
84, 350.0, 3, 884, 90.63383078575134
85, 450.0, 3, 851, 61.66394090652466
86, 600.0, 3, 3814, 151.03101348876953
87, 350.0, 3, 649, 19.954906225204468
88, 550.0, 3, 1192, 31.562452793121338
89, 350.0, 3, 3931, 113.88378524780273
90, 610.0, 3, 1450, 42.21960663795471
91, 550.0, 3, 1378, 38.078656911849976
92, 450.0, 3, 727, 22.83604907989502
93, 300.0, 3, 929, 56.300565242767334
94, 450.0, 3, 800, 83.172523021698
95, 600.0, 3, 1197, 121.69569087028503
96, 450.0, 3, 793, 69.43230700492859
97, 450.0, 3, 991, 56.248743772506714
98, 600.0, 3, 5178, 157.43763756752014
99, 600.0, 3, 1500, 41.727832555770874
100, 100.0, 3, 465, 13.704935073852539
