run number, score, number of levels, total steps, total elapsed time
1, 200.0, 3, 261, 0.1359241008758545
2, 100.0, 3, 277, 0.15627169609069824
3, 350.0, 3, 405, 0.21330046653747559
4, 50.0, 3, 229, 0.10869860649108887
5, 300.0, 3, 620, 0.3298041820526123
6, 200.0, 3, 320, 0.1567823886871338
7, 0.0, 3, 283, 0.14690017700195312
8, 100.0, 3, 239, 0.1304023265838623
9, 150.0, 3, 216, 0.10398674011230469
10, 200.0, 3, 580, 0.3140692710876465
11, 200.0, 3, 247, 0.12778091430664062
12, 300.0, 3, 484, 0.24243569374084473
13, 150.0, 3, 413, 0.22761845588684082
14, 100.0, 3, 412, 0.19983839988708496
15, 100.0, 3, 307, 0.15288114547729492
16, 200.0, 3, 282, 0.13405156135559082
17, 100.0, 3, 205, 0.09559416770935059
18, 200.0, 3, 506, 0.25138354301452637
19, 50.0, 3, 221, 0.10982728004455566
20, 200.0, 3, 365, 0.17162203788757324
21, 360.0, 3, 549, 0.2601339817047119
22, 200.0, 3, 422, 0.2055215835571289
23, 200.0, 3, 440, 0.21455049514770508
24, 100.0, 3, 206, 0.09701657295227051
25, 200.0, 3, 241, 0.11439204216003418
26, 200.0, 3, 283, 0.1317145824432373
27, 200.0, 3, 237, 0.11542844772338867
28, 100.0, 3, 213, 0.10903549194335938
29, 100.0, 3, 202, 0.09591221809387207
30, 300.0, 3, 374, 0.18035054206848145
31, 50.0, 3, 219, 0.11159014701843262
32, 150.0, 3, 339, 0.16129612922668457
33, 200.0, 3, 290, 0.14034295082092285
34, 200.0, 3, 420, 0.23759222030639648
35, 100.0, 3, 194, 0.09403800964355469
36, 100.0, 3, 222, 0.10871076583862305
37, 50.0, 3, 241, 0.12533950805664062
38, 200.0, 3, 370, 0.19193696975708008
39, 450.0, 3, 473, 0.2360091209411621
40, 250.0, 3, 430, 0.23610663414001465
41, 250.0, 3, 405, 0.20209169387817383
42, 50.0, 3, 276, 0.14303088188171387
43, 150.0, 3, 370, 0.2359919548034668
44, 250.0, 3, 352, 0.20365095138549805
45, 150.0, 3, 378, 0.18792247772216797
46, 50.0, 3, 216, 0.10273933410644531
47, 150.0, 3, 241, 0.11660146713256836
48, 100.0, 3, 263, 0.13055920600891113
49, 200.0, 3, 383, 0.20812201499938965
50, 150.0, 3, 267, 0.14603424072265625
51, 150.0, 3, 338, 0.18942689895629883
52, 250.0, 3, 536, 0.26685619354248047
53, 100.0, 3, 191, 0.10454106330871582
54, 100.0, 3, 258, 0.13512134552001953
55, 100.0, 3, 271, 0.14318203926086426
56, 250.0, 3, 586, 0.313556432723999
57, 50.0, 3, 284, 0.1457536220550537
58, 150.0, 3, 327, 0.1694028377532959
59, 350.0, 3, 348, 0.18210196495056152
60, 350.0, 3, 325, 0.15049386024475098
61, 300.0, 3, 442, 0.21661710739135742
62, 200.0, 3, 286, 0.13518953323364258
63, 200.0, 3, 321, 0.15658044815063477
64, 250.0, 3, 284, 0.13353252410888672
65, 200.0, 3, 212, 0.10279297828674316
66, 150.0, 3, 211, 0.10033726692199707
67, 50.0, 3, 224, 0.11072373390197754
68, 150.0, 3, 247, 0.1228477954864502
69, 50.0, 3, 380, 0.21106386184692383
70, 50.0, 3, 269, 0.14201092720031738
71, 200.0, 3, 241, 0.11615252494812012
72, 250.0, 3, 448, 0.21685147285461426
73, 100.0, 3, 222, 0.11625480651855469
74, 250.0, 3, 538, 0.2813124656677246
75, 150.0, 3, 223, 0.10834836959838867
76, 300.0, 3, 639, 0.3022639751434326
77, 100.0, 3, 197, 0.09273791313171387
78, 300.0, 3, 246, 0.12604188919067383
79, 300.0, 3, 436, 0.23976731300354004
80, 200.0, 3, 279, 0.14907097816467285
81, 470.0, 3, 627, 0.3356606960296631
82, 150.0, 3, 242, 0.12590909004211426
83, 200.0, 3, 306, 0.1900792121887207
84, 250.0, 3, 331, 0.17036962509155273
85, 0.0, 3, 295, 0.16648340225219727
86, 150.0, 3, 272, 0.13640165328979492
87, 300.0, 3, 461, 0.23993706703186035
88, 100.0, 3, 256, 0.12816953659057617
89, 400.0, 3, 402, 0.19502592086791992
90, 300.0, 3, 452, 0.24379205703735352
91, 200.0, 3, 372, 0.17621898651123047
92, 390.0, 3, 335, 0.17426490783691406
93, 200.0, 3, 301, 0.14650535583496094
94, 200.0, 3, 244, 0.12454986572265625
95, 250.0, 3, 378, 0.19976091384887695
96, 50.0, 3, 232, 0.12940478324890137
97, 250.0, 3, 453, 0.2431011199951172
98, 100.0, 3, 210, 0.10678291320800781
99, 200.0, 3, 333, 0.16225528717041016
100, 150.0, 3, 265, 0.12432193756103516
