run number, score, number of levels, total steps, total elapsed time
1, 300.0, 3, 254, 0.20608139038085938
2, 200.0, 3, 401, 0.32794904708862305
3, 150.0, 3, 244, 0.19694066047668457
4, 0.0, 3, 212, 0.17392587661743164
5, 200.0, 3, 445, 0.36828160285949707
6, 100.0, 3, 248, 0.20312285423278809
7, 150.0, 3, 485, 0.38215017318725586
8, 200.0, 3, 264, 0.21127605438232422
9, 50.0, 3, 209, 0.16614317893981934
10, 250.0, 3, 405, 0.3371603488922119
11, 250.0, 3, 544, 0.4417870044708252
12, 350.0, 3, 420, 0.33756351470947266
13, 150.0, 3, 307, 0.24698925018310547
14, 200.0, 3, 272, 0.21059608459472656
15, 50.0, 3, 191, 0.15046072006225586
16, 150.0, 3, 224, 0.17690157890319824
17, 100.0, 3, 310, 0.24929094314575195
18, 300.0, 3, 664, 0.5413994789123535
19, 50.0, 3, 209, 0.1671442985534668
20, 0.0, 3, 202, 0.15858793258666992
21, 100.0, 3, 210, 0.16632461547851562
22, 100.0, 3, 237, 0.19148874282836914
23, 150.0, 3, 237, 0.18689990043640137
24, 250.0, 3, 357, 0.29330968856811523
25, 150.0, 3, 234, 0.18304133415222168
26, 150.0, 3, 277, 0.22946596145629883
27, 0.0, 3, 202, 0.1622934341430664
28, 50.0, 3, 203, 0.16311192512512207
29, 150.0, 3, 250, 0.20974373817443848
30, 200.0, 3, 412, 0.3297536373138428
31, 300.0, 3, 374, 0.29994988441467285
32, 400.0, 3, 1572, 1.171560525894165
33, 150.0, 3, 419, 0.3470118045806885
34, 250.0, 3, 385, 0.314699649810791
35, 150.0, 3, 291, 0.23539495468139648
36, 50.0, 3, 315, 0.25481534004211426
37, 300.0, 3, 519, 0.4268200397491455
38, 300.0, 3, 424, 0.3365790843963623
39, 250.0, 3, 278, 0.21946120262145996
40, 150.0, 3, 276, 0.22297286987304688
41, 100.0, 3, 209, 0.1612553596496582
42, 50.0, 3, 218, 0.17276763916015625
43, 200.0, 3, 246, 0.19846129417419434
44, 100.0, 3, 207, 0.16248631477355957
45, 250.0, 3, 351, 0.27962422370910645
46, 50.0, 3, 215, 0.17017316818237305
47, 50.0, 3, 202, 0.1594712734222412
48, 100.0, 3, 211, 0.17034363746643066
49, 150.0, 3, 279, 0.22318816184997559
50, 150.0, 3, 377, 0.30809688568115234
51, 200.0, 3, 374, 0.5123999118804932
52, 50.0, 3, 202, 0.15954136848449707
53, 150.0, 3, 213, 0.17194557189941406
54, 150.0, 3, 254, 0.20482754707336426
55, 50.0, 3, 232, 0.17966628074645996
56, 100.0, 3, 341, 0.27167320251464844
57, 0.0, 3, 204, 0.16181421279907227
58, 250.0, 3, 344, 0.2775583267211914
59, 300.0, 3, 536, 0.41243577003479004
60, 50.0, 3, 213, 0.16902709007263184
61, 200.0, 3, 345, 0.2809576988220215
62, 50.0, 3, 197, 0.15601444244384766
63, 150.0, 3, 231, 0.18549609184265137
64, 250.0, 3, 467, 0.3853189945220947
65, 250.0, 3, 312, 0.2508704662322998
66, 100.0, 3, 358, 0.2919285297393799
67, 50.0, 3, 221, 0.17972421646118164
68, 150.0, 3, 230, 0.18200087547302246
69, 50.0, 3, 232, 0.1837010383605957
70, 100.0, 3, 290, 0.2324681282043457
71, 200.0, 3, 406, 0.3392949104309082
72, 200.0, 3, 346, 0.28093814849853516
73, 200.0, 3, 414, 0.33341217041015625
74, 50.0, 3, 209, 0.16893792152404785
75, 50.0, 3, 264, 0.21205997467041016
76, 200.0, 3, 250, 0.201765775680542
77, 100.0, 3, 268, 0.23581624031066895
78, 200.0, 3, 469, 0.3778951168060303
79, 100.0, 3, 273, 0.21808767318725586
80, 200.0, 3, 367, 0.3017404079437256
81, 100.0, 3, 335, 0.269437313079834
82, 100.0, 3, 242, 0.1941835880279541
83, 250.0, 3, 329, 0.27037954330444336
84, 50.0, 3, 199, 0.1598823070526123
85, 200.0, 3, 238, 0.18991446495056152
86, 100.0, 3, 308, 0.25092196464538574
87, 300.0, 3, 298, 0.23682546615600586
88, 50.0, 3, 310, 0.24823760986328125
89, 550.0, 3, 609, 0.4830145835876465
90, 50.0, 3, 314, 0.2504079341888428
91, 50.0, 3, 229, 0.18225526809692383
92, 150.0, 3, 305, 0.24315142631530762
93, 150.0, 3, 232, 0.18649053573608398
94, 350.0, 3, 728, 0.5995192527770996
95, 100.0, 3, 350, 0.2790381908416748
96, 100.0, 3, 290, 0.23028850555419922
97, 150.0, 3, 311, 0.24707865715026855
98, 100.0, 3, 199, 0.17891502380371094
99, 300.0, 3, 275, 0.224928617477417
100, 100.0, 3, 258, 0.20858550071716309
101, 100.0, 3, 321, 0.25682806968688965
102, 300.0, 3, 398, 0.3265237808227539
103, 200.0, 3, 266, 0.2138969898223877
104, 150.0, 3, 212, 0.16246438026428223
105, 100.0, 3, 293, 0.23386335372924805
106, 100.0, 3, 278, 0.22176408767700195
107, 150.0, 3, 272, 0.21852970123291016
108, 150.0, 3, 285, 0.22452235221862793
109, 100.0, 3, 247, 0.19871759414672852
110, 100.0, 3, 220, 0.1753220558166504
111, 150.0, 3, 291, 0.23927545547485352
112, 150.0, 3, 248, 0.1938464641571045
113, 250.0, 3, 523, 0.41873598098754883
114, 100.0, 3, 237, 0.18648791313171387
115, 50.0, 3, 236, 0.1903989315032959
116, 150.0, 3, 258, 0.20554375648498535
117, 200.0, 3, 423, 0.33754634857177734
118, 100.0, 3, 413, 0.3466489315032959
119, 0.0, 3, 212, 0.17243552207946777
120, 100.0, 3, 336, 0.2737295627593994
121, 100.0, 3, 273, 0.21387910842895508
122, 250.0, 3, 545, 0.45179057121276855
123, 150.0, 3, 251, 0.2005469799041748
124, 570.0, 3, 667, 0.5364737510681152
125, 100.0, 3, 330, 0.2691965103149414
126, 150.0, 3, 343, 0.27441978454589844
127, 500.0, 3, 678, 0.5465998649597168
128, 100.0, 3, 280, 0.22072434425354004
129, 150.0, 3, 432, 0.355393648147583
130, 100.0, 3, 206, 0.16188812255859375
131, 250.0, 3, 344, 0.2795131206512451
132, 150.0, 3, 297, 0.24584436416625977
133, 50.0, 3, 207, 0.1632521152496338
134, 50.0, 3, 219, 0.18145346641540527
135, 200.0, 3, 531, 0.42936253547668457
136, 50.0, 3, 282, 0.22849655151367188
137, 200.0, 3, 358, 0.30527353286743164
138, 250.0, 3, 334, 0.2719705104827881
139, 200.0, 3, 287, 0.22860383987426758
140, 250.0, 3, 486, 0.3901350498199463
141, 250.0, 3, 334, 0.2722949981689453
142, 300.0, 3, 340, 0.27580881118774414
143, 150.0, 3, 359, 0.2883145809173584
144, 200.0, 3, 241, 0.19698524475097656
145, 100.0, 3, 202, 0.15811991691589355
146, 200.0, 3, 232, 0.18404746055603027
147, 50.0, 3, 289, 0.23596692085266113
148, 50.0, 3, 475, 0.38753843307495117
149, 150.0, 3, 255, 0.20201992988586426
150, 300.0, 3, 310, 0.24143409729003906
151, 200.0, 3, 380, 0.30640363693237305
152, 250.0, 3, 476, 0.38973569869995117
153, 100.0, 3, 208, 0.1670987606048584
154, 150.0, 3, 191, 0.15054726600646973
155, 50.0, 3, 191, 0.15147781372070312
156, 300.0, 3, 296, 0.24129843711853027
157, 50.0, 3, 199, 0.15537309646606445
158, 200.0, 3, 541, 0.44370150566101074
159, 100.0, 3, 190, 0.14766812324523926
160, 100.0, 3, 327, 0.26564812660217285
161, 0.0, 3, 210, 0.16984224319458008
162, 200.0, 3, 230, 0.18624258041381836
163, 50.0, 3, 194, 0.15663719177246094
164, 250.0, 3, 550, 0.43048667907714844
165, 50.0, 3, 268, 0.22119879722595215
166, 100.0, 3, 241, 0.1895732879638672
167, 50.0, 3, 206, 0.16526556015014648
168, 100.0, 3, 226, 0.18222737312316895
169, 300.0, 3, 378, 0.3009922504425049
170, 250.0, 3, 535, 0.5080282688140869
171, 100.0, 3, 257, 0.20656657218933105
172, 50.0, 3, 206, 0.1785259246826172
173, 150.0, 3, 199, 0.1542677879333496
174, 250.0, 3, 410, 0.39494919776916504
175, 100.0, 3, 393, 0.32195329666137695
176, 150.0, 3, 340, 0.27698421478271484
177, 50.0, 3, 226, 0.1824498176574707
178, 100.0, 3, 242, 0.20045208930969238
179, 50.0, 3, 238, 0.19356441497802734
180, 100.0, 3, 253, 0.20897269248962402
181, 150.0, 3, 219, 0.18054676055908203
182, 50.0, 3, 279, 0.22000813484191895
183, 300.0, 3, 615, 0.5052075386047363
184, 0.0, 3, 213, 0.1705615520477295
185, 150.0, 3, 355, 0.28853583335876465
186, 200.0, 3, 284, 0.22769474983215332
187, 250.0, 3, 424, 0.3453378677368164
188, 250.0, 3, 450, 0.37296628952026367
189, 150.0, 3, 320, 0.2579190731048584
190, 150.0, 3, 354, 0.283203125
191, 0.0, 3, 206, 0.16738247871398926
192, 300.0, 3, 475, 0.37998247146606445
193, 100.0, 3, 236, 0.19418621063232422
194, 100.0, 3, 294, 0.24044513702392578
195, 100.0, 3, 204, 0.16528630256652832
196, 150.0, 3, 420, 0.3390655517578125
197, 100.0, 3, 199, 0.15562844276428223
198, 200.0, 3, 273, 0.21835851669311523
199, 250.0, 3, 360, 0.2894754409790039
200, 0.0, 3, 193, 0.1551675796508789
201, 400.0, 3, 322, 0.25853967666625977
202, 100.0, 3, 230, 0.18155765533447266
203, 400.0, 3, 498, 0.4087841510772705
204, 100.0, 3, 202, 0.15631389617919922
205, 200.0, 3, 251, 0.20179080963134766
206, 400.0, 3, 454, 0.364926815032959
207, 50.0, 3, 209, 0.16640543937683105
208, 400.0, 3, 499, 0.405595064163208
209, 100.0, 3, 404, 0.33283162117004395
210, 100.0, 3, 251, 0.2008495330810547
211, 550.0, 3, 1312, 1.0161736011505127
212, 300.0, 3, 460, 0.3704872131347656
213, 50.0, 3, 191, 0.1546018123626709
214, 300.0, 3, 517, 0.41536688804626465
215, 150.0, 3, 339, 0.2773747444152832
216, 100.0, 3, 222, 0.17499494552612305
217, 300.0, 3, 400, 0.31961846351623535
218, 250.0, 3, 328, 0.2672555446624756
219, 350.0, 3, 447, 0.3690452575683594
220, 150.0, 3, 389, 0.3241875171661377
221, 50.0, 3, 324, 0.25946879386901855
222, 200.0, 3, 221, 0.17520499229431152
223, 50.0, 3, 218, 0.17029929161071777
224, 0.0, 3, 205, 0.16427946090698242
225, 100.0, 3, 200, 0.15491271018981934
226, 150.0, 3, 277, 0.22275304794311523
227, 100.0, 3, 212, 0.16956567764282227
228, 100.0, 3, 273, 0.21901559829711914
229, 150.0, 3, 313, 0.25734567642211914
230, 0.0, 3, 208, 0.16962337493896484
231, 200.0, 3, 348, 0.2836005687713623
232, 150.0, 3, 355, 0.28481459617614746
233, 200.0, 3, 213, 0.1666254997253418
234, 100.0, 3, 226, 0.18480801582336426
235, 300.0, 3, 301, 0.23833513259887695
236, 200.0, 3, 390, 0.31479978561401367
237, 100.0, 3, 344, 0.2786080837249756
238, 100.0, 3, 279, 0.22397112846374512
239, 200.0, 3, 199, 0.15644383430480957
240, 50.0, 3, 198, 0.15406513214111328
241, 150.0, 3, 209, 0.16141796112060547
242, 150.0, 3, 285, 0.22579360008239746
243, 240.0, 3, 412, 0.31870532035827637
244, 0.0, 3, 227, 0.1801283359527588
