run number, score, number of levels, total steps, total elapsed time
1, 1930.0, 9, 2040, 213.36772203445435
2, 1610.0, 7, 1641, 168.6980481147766
3, 850.0, 4, 997, 81.74842071533203
4, 600.0, 4, 941, 74.70243859291077
5, 1560.0, 7, 1658, 166.66146278381348
6, 400.0, 3, 317, 33.03448700904846
7, 3790.0, 14, 3120, 384.89887595176697
8, 2450.0, 12, 2639, 244.78101897239685
9, 2150.0, 10, 2362, 276.162704706192
10, 1500.0, 7, 1890, 177.92807149887085
11, 900.0, 4, 1156, 112.24196720123291
12, 1350.0, 6, 1316, 135.14124608039856
13, 860.0, 4, 1093, 93.55981802940369
14, 350.0, 3, 425, 38.787190437316895
15, 1820.0, 8, 1829, 207.21987771987915
16, 2360.0, 11, 2350, 226.2745451927185
17, 1960.0, 9, 2360, 232.38647961616516
18, 700.0, 5, 784, 72.14099597930908
19, 950.0, 5, 1126, 116.6992392539978
20, 1070.0, 6, 1202, 114.41535472869873
21, 3610.0, 14, 3475, 314.00986981391907
22, 2600.0, 11, 2565, 258.26379680633545
23, 950.0, 5, 1015, 114.02555108070374
24, 790.0, 5, 1197, 105.87514996528625
25, 2690.0, 13, 3038, 317.44730734825134
26, 1750.0, 8, 1838, 194.92383790016174
27, 2790.0, 14, 3128, 328.2785177230835
28, 790.0, 4, 843, 66.73674726486206
29, 1400.0, 7, 1617, 145.56915736198425
30, 650.0, 4, 807, 89.91185188293457
31, 1240.0, 6, 1553, 139.76688146591187
32, 600.0, 4, 789, 78.17261838912964
33, 850.0, 4, 843, 91.07146501541138
34, 3870.0, 15, 4106, 446.47977590560913
35, 1520.0, 9, 1784, 203.2139549255371
36, 1150.0, 6, 1614, 169.13296723365784
37, 650.0, 5, 954, 92.23720240592957
38, 650.0, 3, 778, 73.23619818687439
39, 1660.0, 7, 1617, 166.50474190711975
40, 860.0, 5, 1059, 101.31059002876282
41, 1890.0, 6, 1889, 190.97924709320068
42, 1420.0, 7, 1501, 157.33368515968323
43, 900.0, 5, 1074, 127.48584198951721
44, 1620.0, 8, 1674, 171.17972946166992
45, 840.0, 5, 1017, 86.91515445709229
46, 1150.0, 7, 1748, 182.9427399635315
47, 1530.0, 6, 1653, 141.02166771888733
48, 450.0, 3, 583, 47.767406940460205
49, 2220.0, 9, 2071, 223.2717306613922
50, 2960.0, 13, 3264, 337.8026351928711
51, 2420.0, 11, 2388, 291.14285469055176
52, 1360.0, 5, 1395, 152.96470999717712
53, 2740.0, 12, 2731, 302.2151708602905
54, 2260.0, 11, 2121, 177.35426878929138
55, 2100.0, 8, 2132, 228.76661443710327
56, 650.0, 5, 894, 80.79105567932129
57, 750.0, 5, 869, 89.07015752792358
58, 1270.0, 6, 2106, 161.28560376167297
59, 1450.0, 8, 1548, 183.11391353607178
60, 930.0, 5, 893, 84.054208278656
61, 800.0, 4, 1149, 84.16619873046875
62, 1770.0, 7, 1641, 169.43456387519836
63, 4060.0, 16, 3652, 375.8770122528076
64, 2720.0, 13, 2731, 341.003212928772
65, 2300.0, 11, 2434, 270.10569047927856
66, 1450.0, 8, 1581, 166.9465823173523
67, 1400.0, 8, 1816, 191.16680526733398
68, 1460.0, 6, 1380, 129.4340591430664
69, 1460.0, 7, 2500, 207.44228053092957
70, 1350.0, 6, 1516, 161.20456171035767
71, 1310.0, 7, 1331, 123.02384901046753
72, 700.0, 4, 953, 72.6560640335083
73, 790.0, 6, 1191, 115.70342350006104
74, 2760.0, 12, 2778, 311.440313577652
75, 1620.0, 9, 2115, 230.38689160346985
76, 750.0, 5, 938, 71.96528935432434
77, 650.0, 4, 951, 98.78449082374573
78, 810.0, 4, 863, 97.90787601470947
79, 600.0, 3, 499, 46.5488600730896
80, 800.0, 5, 896, 91.90727519989014
81, 920.0, 4, 746, 63.598594427108765
82, 2570.0, 10, 2359, 255.83314299583435
83, 900.0, 5, 1097, 108.73375844955444
84, 600.0, 4, 793, 81.5434057712555
85, 2390.0, 11, 2757, 297.6169214248657
86, 2390.0, 9, 2581, 291.3729259967804
87, 850.0, 4, 1410, 108.2322187423706
88, 750.0, 4, 904, 85.4013659954071
89, 2510.0, 10, 2453, 289.0712249279022
90, 1580.0, 8, 2011, 190.54313826560974
91, 700.0, 4, 898, 67.86348819732666
92, 400.0, 3, 535, 50.15433049201965
93, 750.0, 4, 875, 89.9588029384613
94, 800.0, 4, 907, 107.37657690048218
95, 1510.0, 6, 1532, 146.00209379196167
96, 950.0, 5, 1291, 131.57532835006714
97, 1390.0, 6, 1617, 139.2040467262268
98, 2220.0, 11, 2048, 219.20464730262756
99, 1320.0, 6, 1299, 147.8494291305542
100, 2920.0, 12, 2712, 290.8452045917511
